Bouwjaar;Brandstof;Merk;Prijs;Aantal deuren;Aantal stoelen;Adverteerder;Bovag garantie;Carrosserie;Kenteken;Kilometerstand;Kleur;Model;Motorinhoud;NAP Nationale Auto Pas;Opties;Transmissie;Vermogen;Merkgarantie;Interieur
['1975'];['Benzine'];['Maserati'];[0.0];;;;;;;;;;;;;;;;
['2003'];['Benzine'];['Maserati'];[22950.0];['2'];['4'];['Bedrijf'];['Nee'];['Coupé'];['87-XVB-8'];['114662'];['Zilver of Grijs'];['Coupe'];['4244'];['Nee'];['ABS, Airbags, Bekleding leder, Boordcomputer, Airconditioning, Lichtmetalen velgen, Navigatiesysteem, Stoelverwarming, Climate control, Elektrische buitenspiegels, Elektrische stoelverstelling, Radio, Startonderbreker, Traction-control, Verwarmde buitenspiegels'];['Automaat'];['390'];;
['2005'];['Benzine'];['Maserati'];[18950.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];['97-RF-GK'];['98275'];['Blauw'];['Quattroporte'];['4244'];['Ja'];['Airbags, Bekleding leder, Airconditioning, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Climate control, Alarm, Elektrische stoelverstelling, Radio, Startonderbreker, Xenon verlichting'];['Automaat'];['402'];['Autotrust'];
['2014'];['Diesel'];['Maserati'];[51949.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];['5-XZF-87'];['65873'];['Zilver of Grijs'];['Quattroporte'];['2987'];['Ja'];['ABS, Airbags, Bekleding leder, Centrale vergrendeling, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Isofix, Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Parkeersensor, Sportstoelen, Stoelverwarming, Cruise Control, Climate control, Alarm, Parkeercamera, Elektrische stoelverstelling, Startonderbreker, Xenon verlichting'];['Automaat'];['275'];;
['2005'];['Benzine'];['Maserati'];[24500.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];['RJ-434-R'];['59689'];['Zilver of Grijs'];['Quattroporte'];['4244'];['Nee'];['ABS, Bekleding leder, Airconditioning, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Sportstoelen, Cruise Control, Climate control, Alarm, Elektrische buitenspiegels, Elektrische stoelverstelling, Mistlampen, Radio, Startonderbreker, Traction-control, Xenon verlichting'];['Automaat'];['400'];;
['2015'];['Benzine'];['Maserati'];[84500.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];;['26915'];['Zilver of Grijs'];['Quattroporte'];['2979'];['Nee'];['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Parkeersensor, Stoelverwarming, Cruise Control, Climate control, 4x4, Alarm, Parkeercamera, Elektrische buitenspiegels, Elektrische stoelverstelling, Mistlampen, Radio, Startonderbreker, Traction-control, Verwarmde buitenspiegels, Xenon verlichting'];['Automaat'];['409'];;
['2000'];['Benzine'];['Maserati'];[21500.0];['2'];['4'];['Bedrijf'];['Nee'];['Coupé'];['01-SF-FD'];['141076'];['Blauw'];['Overige modellen'];['3217'];['Nee'];['ABS, Airbags, Bekleding leder, Airconditioning, Metallic lak, Parkeersensor, Climate control, Elektrische stoelverstelling, Radio, Startonderbreker, Traction-control'];['Automaat'];['369'];;
['1975'];['Benzine'];['Maserati'];[0.0];;;;;;;;;;;;;;;;
['2015'];['Diesel'];['Maserati'];[58500.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];;['13770'];['Blauw'];['Ghibli'];['2987'];['Nee'];['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Parkeersensor, Sportstoelen, Stoelverwarming, Cruise Control, Climate control, Alarm, Parkeercamera, Elektrische buitenspiegels, Elektrische stoelverstelling, Mistlampen, Radio, Startonderbreker, Traction-control, Verwarmde buitenspiegels, Xenon verlichting'];['Automaat'];['275'];;
['2001'];['Benzine'];['Maserati'];[17500.0];['2'];['4'];['Bedrijf'];['Ja'];['Coupé'];['38-GP-DZ'];['185432'];['Groen'];['3200'];['3217'];['Nee'];['ABS, Airbags, Centrale vergrendeling, Airconditioning, Lichtmetalen velgen, Climate control'];['Automaat'];['369'];;
['2008'];['Benzine'];['Maserati'];[29950.0];['4'];['5'];['Bedrijf'];['Ja'];['Sedan'];['TS-985-S'];['107760'];['Zwart'];['Quattroporte'];['4244'];['Nee'];['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Navigatiesysteem, Parkeersensor, Cruise Control, Climate control'];['Automaat'];['400'];;
['2007'];['Benzine'];['Maserati'];[28500.0];;;['Bedrijf'];;['Sedan'];;['144503'];['Zwart'];['Quattroporte'];['4244'];;['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Parkeersensor, Sportstoelen, Stoelverwarming, Cruise Control, Climate control'];['Automaat'];;;
['2014'];['Diesel'];['Maserati'];[49950.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];['9-XTJ-57'];['86855'];['Zwart'];['Quattroporte'];['2987'];['Nee'];['ABS, Airbags, Bekleding leder, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Metallic lak, Navigatiesysteem, Cruise Control, Climate control, Alarm, Startonderbreker'];['Automaat'];['275'];['Autotrust'];
['2016'];['Benzine'];['Maserati'];[67950.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];['JG-251-S'];['54420'];['Blauw'];['Ghibli'];['2979'];['Nee'];['ABS, Airbags, Bekleding leder, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Cruise Control, Climate control, Alarm, Elektrische stoelverstelling, Radio, Startonderbreker, Traction-control, Xenon verlichting'];['Automaat'];['330'];['Autotrust'];
['2001'];['Benzine'];['Maserati'];[16999.0];['2'];['4'];['Bedrijf'];['Nee'];['Coupé'];['63-GT-TJ'];['173563'];['Zilver of Grijs'];['Overige modellen'];['3217'];['Ja'];['ABS, Airbags, Bekleding leder, Airconditioning, Climate control, Elektrische stoelverstelling, Radio, Startonderbreker'];['Automaat'];['369'];;
['2005'];['Benzine'];['Maserati'];[29950.0];['4'];['5'];['Bedrijf'];['Ja'];['Sedan'];['85-RX-NR'];['36417'];['Blauw'];['Quattroporte'];['4244'];['Ja'];['Airbags, Bekleding leder, Boordcomputer, Airconditioning, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Climate control, Alarm, Elektrische stoelverstelling, Startonderbreker, Xenon verlichting'];['Automaat'];['402'];;
['2007'];['Benzine'];['Maserati'];[28490.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];['51-NNZ-6'];['66906'];['Zwart'];['Quattroporte'];['4244'];['Nee'];['Airbags, Bekleding leder, Airconditioning, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Parkeersensor, Stoelverwarming'];['Automaat'];['401'];;
['2005'];['Benzine'];['Maserati'];[28950.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];['95-KZJ-7'];['54430'];['Zilver of Grijs'];['Quattroporte'];['4244'];['Nee'];['Airbags, Bekleding leder, Airconditioning, Electronic Stability Program (ESP), Lichtmetalen velgen, Navigatiesysteem, Climate control, Alarm, Elektrische stoelverstelling, Startonderbreker, Xenon verlichting'];['Automaat'];['400'];;
['2000'];['Benzine'];['Maserati'];[24950.0];['2'];['4'];['Bedrijf'];['Nee'];['Coupé'];;['80688'];['Zilver of Grijs'];['Overige modellen'];['3217'];['Nee'];['ABS, Airbags, Bekleding leder, Airconditioning, Metallic lak, Navigatiesysteem, Climate control, Alarm, Elektrische stoelverstelling, Radio, Startonderbreker, Traction-control'];['Handgeschakeld'];['370'];;
['1985'];['Benzine'];['Maserati'];[10750.0];;;['Bedrijf'];;['Coupé'];;['68460'];['Zilver of Grijs'];['Coupe'];['1998'];;['Airbags, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Metallic lak, Mistlampen, Traction-control'];['Handgeschakeld'];;;['Bruin']
['2010'];['Benzine'];['Maserati'];[59950.0];['5'];['5'];['Bedrijf'];['Nee'];['Sedan'];;['90650'];['Zilver of Grijs'];['Quattroporte'];['4691'];['Nee'];['Airbags, Bekleding leder, Boordcomputer, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Parkeersensor, Stoelverwarming, Cruise Control, Climate control, Traction-control'];['Automaat'];['440'];;
['2011'];['Benzine'];['Maserati'];[119500.0];['2'];['4'];['Bedrijf'];['Nee'];['Coupé'];['JT-614-F'];['41075'];['Zwart'];['Granturismo'];['4691'];['Nee'];['ABS, Lichtmetalen velgen, Parkeersensor, Alarm, Startonderbreker'];['Automaat'];['451'];;
['2005'];['Benzine'];['Maserati'];[15888.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];['69-RD-JZ'];['173056'];['Zilver of Grijs'];['Quattroporte'];['4244'];['Ja'];['Airbags, Bekleding leder, Airconditioning, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Climate control, Alarm, Elektrische stoelverstelling, Radio, Startonderbreker, Xenon verlichting'];['Automaat'];['402'];;
['2018'];['Benzine'];['Maserati'];[196950.0];['5'];['5'];['Bedrijf'];['Nee'];['SUV of Terreinwagen'];;['15'];['Zilver of Grijs'];['Levante'];['2979'];['Nee'];['ABS, Airbags, Bekleding leder, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Parkeersensor, Sportstoelen, Stoelverwarming, Cruise Control, Climate control, 4x4, Alarm, Parkeercamera, Elektrische stoelverstelling, Radio, Startonderbreker, Start-stop-systeem, Traction-control, Xenon verlichting, Elektrische achterklep, Verkeersbordherkenning, Panoramadak'];['Automaat'];['430'];;
['2016'];['Benzine'];['Maserati'];[93650.0];['4'];;['Bedrijf'];['Nee'];['Sedan'];['JF-126-Z'];['47986'];['Zwart'];['Quattroporte'];['3000'];['Ja'];['ABS, Bekleding leder, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Navigatiesysteem, Open dak, Parkeersensor, Stoelverwarming, Adaptieve lichten, Parkeercamera, Elektrische stoelverstelling, Radio, Traction-control, Xenon verlichting'];['Automaat'];['411'];;
['2002'];['Benzine'];['Maserati'];[25950.0];;;['Particulier'];;['Cabriolet'];;['46801'];['Zilver of Grijs'];['Overige modellen'];['4200'];;['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Sportstoelen, Cruise Control, Climate control, Alarm, Elektrische buitenspiegels, Elektrische stoelverstelling, Mistlampen, Radio, Sportpakket, Startonderbreker, Traction-control, Verwarmde buitenspiegels, Xenon verlichting, Elektrische achterklep'];['Automaat'];;;['Grijs']
['2017'];['Benzine'];['Maserati'];[89900.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];;['20900'];['Zilver of Grijs'];['Ghibli'];['2979'];['Nee'];['ABS, Airbags, Bekleding leder, Boordcomputer, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Parkeersensor, Stoelverwarming, Cruise Control, Climate control, 4x4, Alarm, Parkeercamera, Elektrische buitenspiegels, Elektrische stoelverstelling, Radio, Sportpakket, Startonderbreker, Start-stop-systeem, Traction-control, Verwarmde buitenspiegels, Elektrische achterklep, Emergency brake assist, Verkeersbordherkenning'];['Automaat'];['410'];;
['1999'];['Benzine'];['Maserati'];[27500.0];['2'];['4'];['Bedrijf'];['Nee'];['Coupé'];['12-SB-PX'];['98727'];['Zilver of Grijs'];['Overige modellen'];['3217'];['Nee'];['ABS, Airbags, Bekleding leder, Airconditioning, Lichtmetalen velgen, Metallic lak, Climate control, Alarm, Elektrische stoelverstelling, Radio, Startonderbreker, Traction-control, Xenon verlichting'];['Handgeschakeld'];['369'];;
['2005'];['Benzine'];['Maserati'];[15950.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];['87-RR-LP'];['180424'];['Blauw'];['Quattroporte'];['4244'];['Ja'];['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Stoelverwarming, Cruise Control, Climate control, Elektrische stoelverstelling, Mistlampen, Radio, Startonderbreker, Traction-control, Verwarmde buitenspiegels, Xenon verlichting'];['Automaat'];['401'];;
['2005'];['Benzine'];['Maserati'];[19995.0];['4'];['5'];['Bedrijf'];['Nee'];['Sedan'];['66-GKG-4'];['196021'];['Zwart'];['Quattroporte'];['4244'];['Nee'];['Airbags, Bekleding leder, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Parkeersensor, Stoelverwarming, Climate control, Alarm, Elektrische buitenspiegels, Elektrische stoelverstelling, Radio, Traction-control, Xenon verlichting'];['Automaat'];['400'];;
['2008'];['Benzine'];['Maserati'];[52750.0];['2'];['4'];['Bedrijf'];['Nee'];['Coupé'];['JK-638-J'];['30360'];['Zwart'];['Gransport'];['4244'];['Nee'];['Airbags, Bekleding leder, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Parkeersensor, Sportstoelen, Cruise Control, Climate control, Elektrische stoelverstelling, Radio, Sportpakket, Startonderbreker, Xenon verlichting'];['Automaat'];['401'];;
